category_uid,category_name,category_description,category_parent_id
220-151802,"Credit Risk","Lending risk management",220-151800
220-151803,"Operational Risk","Business risk control",220-151800
220-151804,"Insurance Risk","Coverage risk assessment",220-151800
220-151805,"Compliance Risk","Regulatory risk control",220-151800
220-151900,"Credit Services","Credit management services",220-150000
220-151901,"Credit Repair","Credit score improvement",220-151900
220-151902,"Credit Monitoring","Credit report tracking",220-151900
220-151903,"Credit Building","Credit history development",220-151900
220-151904,"Credit Counseling","Credit management advice",220-151900
220-151905,"Identity Protection","Credit identity security",220-151900
220-152000,"Debt Management","Debt resolution services",220-150000
220-152001,"Debt Consolidation","Loan combination service",220-152000
220-152002,"Credit Counseling","Debt advice service",220-152000
220-152003,"Debt Settlement","Debt reduction service",220-152000
220-152004,"Bankruptcy Service","Insolvency assistance",220-152000
220-152005,"Debt Negotiation","Creditor negotiation",220-152000
220-152100,"Foreign Exchange","Currency exchange services",220-150000
220-152101,"Currency Exchange","Money conversion service",220-152100
220-152102,"International Transfer","Global money movement",220-152100
220-152103,"FX Trading","Currency trading service",220-152100
220-152104,"Hedging Services","Currency risk protection",220-152100
220-152105,"Travel Exchange","Travel money service",220-152100
220-152200,"Payment Processing","Transaction processing services",220-150000
220-152201,"Merchant Services","Business payment solutions",220-152200
220-152202,"Online Payments","Digital payment processing",220-152200
220-152203,"Mobile Payments","Phone payment solutions",220-152200
220-152204,"ACH Processing","Electronic transfer services",220-152200
220-152205,"Point of Sale","In-store payment systems",220-152200
220-152300,"Accounting Services","Financial record services",220-150000
220-152400,"Fintech Services","Financial technology solutions",220-150000
220-152500,"Financial Education","Money management education",220-150000
220-152501,"Investment Education","Investment learning programs",220-152500
220-152502,"Budget Planning","Money management training",220-152500
220-152503,"Financial Literacy","Basic finance education",220-152500
220-152504,"Retirement Education","Retirement planning courses",220-152500
220-152505,"Tax Education","Tax planning training",220-152500
220-160000,"Child Care & Services","Child care and youth services",NULL
220-160100,"Daycare Centers","Full-day child care facilities",220-160000
220-160101,"Infant Care","Baby care services",220-160100
220-160102,"Toddler Care","Toddler care programs",220-160100
220-160103,"Full-Time Care","Full-day child care",220-160100
220-160104,"Part-Time Care","Partial-day child care",220-160100
220-160105,"Drop-In Care","Flexible care services",220-160100
220-160200,Preschools,"Early education centers",220-160000
220-160201,"Early Learning","Basic education program",220-160200
220-160202,"Pre-K Program","Kindergarten preparation",220-160200
220-160203,Play-Based,"Learning through play",220-160200
220-160204,"Language Focus","Early language development",220-160200
220-160205,"Arts Program","Creative development focus",220-160200
220-160300,"Montessori Schools","Montessori education centers",220-160000
220-160301,"Toddler Program","Early montessori learning",220-160300
220-160302,"Primary Level","Basic montessori education",220-160300
220-160303,Elementary,"Advanced montessori learning",220-160300
220-160304,"Full Day","Extended montessori care",220-160300
220-160305,"Half Day","Partial day montessori",220-160300
220-160400,"Nanny Services","In-home child care providers",220-160000
220-160401,"Full-Time Nanny","Full-time in-home care",220-160400
220-160402,"Part-Time Nanny","Part-time in-home care",220-160400
220-160403,"Overnight Care","Evening child care",220-160400
220-160404,"Shared Nanny","Multi-family nanny services",220-160400
220-160405,"Temporary Nanny","Short-term nanny services",220-160400
220-160500,Babysitting,"Temporary child care services",220-160000
220-160501,"Regular Sitting","Scheduled child care",220-160500
220-160502,"On-Call Service","Emergency child care",220-160500
220-160503,"Evening Care","Night time babysitting",220-160500
220-160504,"Weekend Care","Weekend child care",220-160500
220-160505,"Event Sitting","Special occasion care",220-160500
220-160600,"Au Pair Services","Live-in child care providers",220-160000
220-160601,"Cultural Exchange","International au pair",220-160600
220-160602,"Language Focus","Language learning care",220-160600
220-160603,"Education Support","Academic assistance",220-160600
220-160604,"Full-Time Care","Complete child care",220-160600
220-160605,"Activity Planning","Child engagement service",220-160600
220-160700,"Tutoring Services","Academic support services",220-160000
220-160701,"Academic Tutoring","Subject-specific tutoring",220-160700
220-160702,"Homework Help","Assignment assistance",220-160700
220-160703,"Test Preparation","Exam preparation help",220-160700
220-160704,"Reading Tutoring","Reading skill development",220-160700
220-160705,"Math Tutoring","Mathematics assistance",220-160700
220-160800,"Learning Centers","Educational enrichment centers",220-160000
220-160801,"Academic Support","Educational assistance",220-160800
220-160802,"Skill Development","Learning enhancement",220-160800
220-160803,"STEM Programs","Science tech education",220-160800
220-160804,"Reading Programs","Literacy improvement",220-160800
220-160805,"Arts Education","Creative learning programs",220-160800
220-160900,"Special Education","Special needs education",220-160000
220-160901,"IEP Support","Education plan assistance",220-160900
220-160902,"Learning Tools","Educational aids support",220-160900
220-160903,"Modified Teaching","Adapted instruction",220-160900
220-160904,"Gifted Programs","Advanced learning support",220-160900
220-160905,"Resource Room","Specialized learning space",220-160900
220-161000,"After School Programs","Post-school care and activities",220-160000
220-161001,"Homework Programs","Study support services",220-161000
220-161002,"Arts Programs","Creative activity programs",220-161000
220-161003,"Sports Activities","Athletic after-school programs",220-161000
220-161004,"STEM Programs","Science and tech activities",220-161000
220-161005,"Music Programs","Musical education activities",220-161000
220-161100,"Summer Camps","Seasonal activity programs",220-160000
220-161101,"Day Camp","Daytime summer program",220-161100
220-161102,"Sports Camp","Athletic summer program",220-161100
220-161103,"Arts Camp","Creative summer program",220-161100
220-161104,"Science Camp","STEM summer program",220-161100
220-161105,"Adventure Camp","Outdoor summer program",220-161100
220-161200,"Sports Programs","Youth athletic programs",220-160000
220-161201,"Team Sports","Group sports programs",220-161200
220-161202,"Individual Sports","Solo sports training",220-161200
220-161203,"Swimming Classes","Aquatic skill programs",220-161200
220-161204,Gymnastics,"Movement skill development",220-161200
220-161205,"Dance Classes","Dance skill programs",220-161200
220-161300,"Early Intervention","Developmental support services",220-160000
220-161301,"Speech Development","Language skill development",220-161300
220-161302,"Motor Skills","Physical development support",220-161300
220-161303,"Social Skills","Social development help",220-161300
220-161304,"Cognitive Development","Mental skill development",220-161300
220-161305,"Behavioral Support","Behavior development help",220-161300
220-161400,"Speech Therapy","Speech development services",220-160000
220-161401,"Language Delay","Speech development help",220-161400
220-161402,Articulation,"Sound production therapy",220-161400
220-161403,"Fluency Help","Stuttering treatment",220-161400
220-161404,"Social Speech","Communication skills",220-161400
220-161405,"Reading Support","Reading speech therapy",220-161400
220-161500,"Behavioral Therapy","Child behavior services",220-160000
220-161501,"ABA Therapy","Applied behavior analysis",220-161500
220-161502,"Social Skills","Interaction development",220-161500
220-161503,"Emotional Support","Feeling management help",220-161500
220-161504,"Anxiety Treatment","Anxiety management help",220-161500
220-161505,"ADHD Support","Attention deficit help",220-161500
220-161600,"Child Transportation","Child transport services",220-160000
220-161601,"School Transport","School pickup service",220-161600
220-161602,"Activity Shuttle","Activity transportation",220-161600
220-161603,"Medical Transport","Healthcare appointment rides",220-161600
220-161604,"Group Transport","Multi-child transport",220-161600
220-161605,"Special Needs","Adapted transportation",220-161600
220-161700,"Child Safety Services","Safety training and equipment",220-160000
220-161701,"Home Safety","Childproofing service",220-161700
220-161702,"Car Seat Safety","Vehicle safety checks",220-161700
220-161703,"Water Safety","Swimming safety training",220-161700
220-161704,"First Aid","Emergency response training",220-161700
220-161705,"Safety Education","Child safety awareness",220-161700
220-161800,"Parenting Support","Parent education services",220-160000
220-161801,"New Parents","First-time parent help",220-161800
220-161802,"Parent Education","Parenting skill classes",220-161800
220-161803,"Support Groups","Parent group meetings",220-161800
220-161804,"Family Coaching","Parenting strategy help",220-161800
220-161805,"Resource Access","Parenting information help",220-161800
220-161900,"Special Needs Care","Special needs support services",220-160000
220-161901,"Autism Support","Autism care services",220-161900
220-161902,"ADHD Support","ADHD management services",220-161900
220-161903,"Physical Disabilities","Physical support services",220-161900
220-161904,"Learning Disabilities","Learning support services",220-161900
220-161905,"Sensory Processing","Sensory support services",220-161900
220-162000,"Medical Daycare","Health-focused child care",220-160000
220-162001,"Nursing Care","Medical supervision",220-162000
220-162002,"Therapy Sessions","Treatment integration",220-162000
220-162003,"Medical Monitoring","Health status tracking",220-162000
220-162004,"Medicine Management","Medication administration",220-162000
220-162005,"Special Equipment","Medical device support",220-162000
220-162100,"Emergency Care","Urgent child care services",220-160000
220-162101,"Crisis Care","Emergency childcare",220-162100
220-162102,"Sick Child Care","Ill child supervision",220-162100
220-162103,"Disaster Support","Emergency situation care",220-162100
220-162104,"After Hours","Late night emergency care",220-162100
220-162105,"Temporary Care","Short-notice childcare",220-162100
220-162200,"Child Assessment","Development evaluation services",220-160000
220-162201,"Development Screening","Growth assessment services",220-162200
220-162202,"Learning Assessment","Educational evaluation",220-162200
220-162203,"Behavioral Assessment","Behavior evaluation",220-162200
220-162204,"Skills Assessment","Ability evaluation services",220-162200
220-162205,"Progress Monitoring","Development tracking",220-162200
220-162300,"Resource Centers","Family resource facilities",220-160000
220-162301,"Parent Education","Parenting skill development",220-162300
220-162302,"Family Support","Family assistance services",220-162300
220-162303,"Resource Library","Educational materials access",220-162300
220-162304,"Community Programs","Family community services",220-162300
220-162305,"Parent Counseling","Parental guidance services",220-162300
220-162400,"Child Counseling","Youth counseling services",220-160000
220-162401,"Early Learning","Basic education program",220-162400
220-162402,"Academic Support","School work assistance",220-162400
220-162403,"Skill Building","Core ability development",220-162400
220-162404,"Creative Learning","Arts-based education",220-162400
220-162405,"Physical Education","Movement-based learning",220-162400
220-162500,"Activity Centers","Children's recreation facilities",220-160000
220-162501,"Indoor Playgrounds","Indoor play facilities",220-162500
220-162502,"Art Studios","Creative activity spaces",220-162500
220-162503,"Science Centers","Educational activity centers",220-162500
220-162504,"Music Centers","Musical activity spaces",220-162500
220-162505,"Movement Centers","Physical activity spaces",220-162500
220-170000,"Legal Services","Legal assistance and consultation",NULL
220-170100,"General Law","General legal services",220-170000
220-170101,"Legal Consultation","Initial legal advice",220-170100
220-170102,"Document Review","Legal document examination",220-170100
220-170103,"Legal Research","Case law research services",220-170100
220-170104,"Court Representation","Courtroom advocacy",220-170100
220-170105,"Mediation Services","Dispute resolution services",220-170100
220-170200,"Civil Litigation","Civil case services",220-170000
220-170201,"Personal Injury","Injury claim litigation",220-170200
220-170202,"Property Dispute","Property conflict cases",220-170200
220-170203,"Contract Disputes","Agreement conflict cases",220-170200
220-170204,"Class Actions","Group lawsuit handling",220-170200
220-170205,"Civil Appeals","Appeal case management",220-170200
220-170300,"Criminal Law","Criminal defense services",220-170000
220-170301,"Criminal Defense","Defense representation",220-170300
220-170302,"DUI Defense","Drunk driving cases",220-170300
220-170303,"Drug Offenses","Drug crime defense",220-170300
220-170304,"White Collar","Financial crime defense",220-170300
220-170305,"Appeals Process","Criminal case appeals",220-170300
220-170400,"Divorce Law","Divorce legal services",220-170000
220-170401,"Divorce Filing","Divorce process initiation",220-170400
220-170402,"Property Division","Asset division services",220-170400
220-170403,"Alimony Issues","Spousal support services",220-170400
220-170404,"Child Support","Child support services",220-170400
220-170405,"Separation Agreements","Legal separation services",220-170400
220-170500,"Child Custody","Child custody legal services",220-170000
220-170501,"Custody Rights","Parental rights cases",220-170500
220-170502,"Visitation Rights","Parent visit arrangements",220-170500
220-170503,"Support Orders","Child support cases",220-170500
220-170504,"Custody Modification","Agreement changes",220-170500
220-170505,"Guardian Rights","Guardian legal matters",220-170500
220-170600,"Family Planning","Family legal planning",220-170000
220-170601,Prenuptial,"Marriage agreements",220-170600
220-170602,"Estate Planning","Family asset planning",220-170600
220-170603,"Adoption Law","Adoption legal services",220-170600
220-170604,"Surrogacy Law","Surrogacy agreements",220-170600
220-170605,"Guardian Planning","Guardianship arrangement",220-170600
220-170700,"Corporate Law","Business legal services",220-170000
220-170701,"Business Formation","Company establishment",220-170700
220-170702,"Corporate Compliance","Regulatory compliance",220-170700
220-170703,"Mergers Acquisitions","Business combination services",220-170700
220-170704,"Contract Drafting","Legal document preparation",220-170700
220-170705,"Corporate Governance","Business oversight services",220-170700
220-170800,"Contract Law","Contract legal services",220-170000
220-170801,"Contract Review","Agreement examination",220-170800
220-170802,"Contract Writing","Agreement creation",220-170800
220-170803,"Breach Claims","Contract violation cases",220-170800
220-170804,"Contract Disputes","Agreement conflict help",220-170800
220-170805,"Negotiation Help","Contract term discussion",220-170800
220-170900,"Business Formation","Company formation services",220-170000
220-170901,"LLC Formation","Limited company setup",220-170900
220-170902,"Corporation Setup","Corporate establishment",220-170900
220-170903,"Partnership Law","Partner agreement help",220-170900
220-170904,"Nonprofit Setup","Charity organization law",220-170900
220-170905,"Business Planning","Company structure advice",220-170900
220-171000,"Real Estate Law","Property legal services",220-170000
220-171001,"Property Transactions","Real estate sales law",220-171000
220-171002,"Title Services","Property title services",220-171000
220-171003,"Zoning Issues","Land use legal services",220-171000
220-171004,"Property Disputes","Real estate conflict resolution",220-171000
220-171005,"Construction Law","Building legal services",220-171000
220-171100,"Landlord Tenant","Rental legal services",220-170000
220-171101,"Lease Review","Rental agreement check",220-171100
220-171102,"Tenant Rights","Renter legal protection",220-171100
220-171103,"Eviction Law","Removal process legal",220-171100
220-171104,"Property Disputes","Rental conflict help",220-171100
220-171105,"Rent Issues","Payment dispute legal",220-171100
220-171200,"Property Rights","Property rights services",220-170000
220-171201,"Ownership Rights","Property owner legal",220-171200
220-171202,"Boundary Issues","Property line disputes",220-171200
220-171203,"Easement Rights","Access rights legal",220-171200
220-171204,"Mineral Rights","Resource rights legal",220-171200
220-171205,"Water Rights","Water usage legal",220-171200
220-171300,"Accident Law","Accident legal services",220-170000
220-171301,"Auto Accidents","Vehicle crash cases",220-171300
220-171302,"Slip and Fall","Premises injury cases",220-171300
220-171303,"Work Accidents","Workplace injury law",220-171300
220-171304,"Product Liability","Defective product cases",220-171300
220-171305,"Accident Claims","Injury compensation law",220-171300
220-171400,"Medical Malpractice","Medical legal services",220-170000
220-171401,"Diagnosis Error","Misdiagnosis cases",220-171400
220-171402,"Surgery Error","Surgical mistake cases",220-171400
220-171403,"Treatment Error","Care mistake cases",220-171400
220-171404,"Birth Injury","Birth trauma cases",220-171400
220-171405,"Medication Error","Drug mistake cases",220-171400
220-171500,"Workers Compensation","Workplace injury services",220-170000
220-171501,"Injury Claims","Work injury benefits",220-171500
220-171502,"Disability Claims","Work disability cases",220-171500
220-171503,"Death Benefits","Fatal accident claims",220-171500
220-171504,"Appeal Process","Claim appeal handling",220-171500
220-171505,"Settlement Help","Compensation negotiation",220-171500
220-171600,"Immigration Law","Immigration legal services",220-170000
220-171601,"Visa Applications","Visa process services",220-171600
220-171602,Citizenship,"Naturalization services",220-171600
220-171603,"Deportation Defense","Removal defense services",220-171600
220-171604,"Green Card Services","Permanent residency help",220-171600
220-171605,"Business Immigration","Work visa services",220-171600
220-171700,"Employment Law","Workplace legal services",220-170000
220-171701,"Discrimination Cases","Workplace discrimination law",220-171700
220-171702,"Harassment Claims","Workplace harassment cases",220-171700
220-171703,"Contract Review","Employment agreement review",220-171700
220-171704,"Wrongful Termination","Unfair dismissal cases",220-171700
220-171705,"Wage Disputes","Compensation conflict cases",220-171700
220-171800,"Intellectual Property","IP legal services",220-170000
220-171801,"Patent Law","Invention protection law",220-171800
220-171802,"Trademark Law","Brand protection legal",220-171800
220-171803,"Copyright Law","Creative works rights",220-171800
220-171804,"Trade Secrets","Business secret protection",220-171800
220-171805,"IP Litigation","Rights violation cases",220-171800
220-171900,"Wills and Trusts","Estate planning services",220-170000
220-171901,"Will Preparation","Will drafting services",220-171900
220-171902,"Trust Formation","Trust creation services",220-171900
220-171903,"Estate Planning","Asset distribution planning",220-171900
220-171904,"Power of Attorney","Legal authority designation",220-171900
220-171905,"Living Wills","Healthcare directive services",220-171900
220-172000,"Probate Law","Estate administration services",220-170000
220-172001,"Estate Admin","Estate management legal",220-172000
220-172002,"Will Validation","Will verification law",220-172000
220-172003,"Asset Distribution","inheritance management",220-172000
220-172004,"Estate Disputes","Inheritance conflict law",220-172000
220-172005,"Trust Admin","Trust management legal",220-172000
220-172100,"Elder Law","Senior legal services",220-170000
220-172101,"Elder Care","Senior legal protection",220-172100
220-172102,"Medicare Help","Healthcare benefits law",220-172100
220-172103,"Power Attorney","Legal authority rights",220-172100
220-172104,"Guardian Issues","Elder guardianship law",220-172100
220-172105,"Elder Abuse","Senior protection cases",220-172100
220-172200,"Tax Law","Tax legal services",220-170000
220-172201,"Tax Planning","Tax strategy services",220-172200
220-172202,"Tax Disputes","Tax conflict resolution",220-172200
220-172203,"IRS Representation","Tax authority advocacy",220-172200
220-172204,"Business Tax","Corporate tax services",220-172200
220-172205,"International Tax","Global tax services",220-172200
220-172300,"Bankruptcy Law","Insolvency legal services",220-170000
220-172301,"Chapter 7 Filing","Personal bankruptcy services",220-172300
220-172302,"Chapter 11 Filing","Business restructuring",220-172300
220-172303,"Chapter 13 Filing","Debt restructuring services",220-172300
220-172304,"Debt Negotiation","Creditor negotiation services",220-172300
220-172305,"Credit Repair","Credit restoration services",220-172300
220-172400,"Environmental Law","Environmental legal services",220-170000
220-172401,"Pollution Law","Environmental protection",220-172400
220-172402,"Compliance Help","Environmental standards",220-172400
220-172403,"Resource Law","Natural resource rights",220-172400
220-172404,"Wildlife Law","Species protection legal",220-172400
220-172405,"Energy Law","Energy regulation legal",220-172400
220-172500,"Constitutional Law","Constitutional rights services",220-170000
220-172501,"Civil Rights","Rights protection cases",220-172500
220-172502,"First Amendment","Freedom rights cases",220-172500
220-172503,"Due Process","Legal rights protection",220-172500
220-172504,"Equal Protection","Equality rights cases",220-172500
220-172505,"Privacy Rights","Privacy protection law",220-172500
220-180000,"Religious & Spiritual","Religious and spiritual services",NULL
220-180100,Churches,"Christian worship facilities",220-180000
220-180101,"Catholic Church","Catholic denomination services",220-180100
220-180102,"Protestant Church","Protestant denomination services",220-180100
220-180103,"Orthodox Church","Orthodox denomination services",220-180100
220-180104,"Evangelical Church","Evangelical denomination services",220-180100
220-180105,Non-Denominational,"Independent church services",220-180100
220-180200,Mosques,"Islamic worship facilities",220-180000
220-180201,"Daily Prayers","Regular prayer services",220-180200
220-180202,"Islamic Education","Religious instruction service",220-180200
220-180203,"Community Programs","Muslim community events",220-180200
220-180204,"Youth Services","Young Muslim programs",220-180200
220-180205,"Cultural Events","Islamic cultural activities",220-180200
220-180300,Temples,"Various religious temples",220-180000
220-180301,"Buddhist Temple","Buddhist worship services",220-180300
220-180302,"Hindu Temple","Hindu worship services",220-180300
220-180303,"Sikh Temple","Sikh worship services",220-180300
220-180304,"Jewish Temple","Jewish worship services",220-180300
220-180305,"Community Center","Multi-faith facilities",220-180300
220-180400,"Religious Education","Faith-based education programs",220-180000
220-180401,"Sunday School","Weekend religious education",220-180400
220-180402,"Bible Study","Scripture study programs",220-180400
220-180403,"Religious Training","Faith leadership training",220-180400
220-180404,"Adult Education","Adult religious learning",220-180400
220-180405,"Youth Education","Youth religious instruction",220-180400
220-180500,"Worship Services","Organized worship events",220-180000
220-180501,"Regular Service","Weekly worship gatherings",220-180500
220-180502,"Special Service","Holiday religious events",220-180500
220-180503,"Prayer Meetings","Group prayer sessions",220-180500
220-180504,"Music Service","Worship music programs",220-180500
220-180505,"Youth Service","Young people worship",220-180500
220-180600,"Youth Programs","Youth religious activities",220-180000
220-180601,"Youth Groups","Teen religious activities",220-180600
220-180602,"Summer Programs","Seasonal youth events",220-180600
220-180603,"Bible Study","Scripture study groups",220-180600
220-180604,"Leadership Training","Youth leader development",220-180600
220-180605,"Social Activities","Youth community events",220-180600
220-180700,"Meditation Centers","Meditation and mindfulness",220-180000
220-180701,"Guided Meditation","Led meditation sessions",220-180700
220-180702,"Silent Retreats","Silent meditation programs",220-180700
220-180703,"Mindfulness Training","Mindfulness instruction",220-180700
220-180704,"Group Meditation","Communal meditation",220-180700
220-180705,"Meditation Classes","Meditation instruction",220-180700
220-180800,"Spiritual Counseling","Spiritual guidance services",220-180000
220-180801,"Personal Guidance","Individual spiritual advice",220-180800
220-180802,"Couples Counseling","Relationship spiritual help",220-180800
220-180803,"Family Counseling","Family spiritual guidance",220-180800
220-180804,"Crisis Support","Emergency spiritual help",220-180800
220-180805,"Faith Development","Spiritual growth guidance",220-180800
220-180900,"Life Coaching","Spiritual life coaching",220-180000
220-180901,"Personal Growth","Individual development",220-180900
220-180902,"Career Guidance","Professional life coaching",220-180900
220-180903,"Relationship Help","Interpersonal coaching",220-180900
220-180904,"Wellness Coaching","Health and life balance",220-180900
220-180905,"Spiritual Direction","Faith-based life guidance",220-180900
220-181000,"Outreach Programs","Community support services",220-180000
220-181001,"Community Service","Local service programs",220-181000
220-181002,"Mission Work","Religious mission services",220-181000
220-181003,"Homeless Outreach","Homeless assistance programs",220-181000
220-181004,"Senior Outreach","Elder support services",220-181000
220-181005,"Youth Outreach","Youth engagement programs",220-181000
220-181100,"Food Banks","Faith-based food assistance",220-180000
220-181101,"Food Distribution","Food package service",220-181100
220-181102,"Meal Programs","Prepared meal service",220-181100
220-181103,"Emergency Food","Crisis food assistance",220-181100
220-181104,"Senior Food Aid","Elderly nutrition help",220-181100
220-181105,"Child Food Program","Youth nutrition service",220-181100
220-181200,"Charitable Services","Religious charity programs",220-180000
220-181201,"Clothing Donation","Free clothing service",220-181200
220-181202,"Housing Help","Shelter assistance",220-181200
220-181203,"Financial Aid","Emergency money help",220-181200
220-181204,"Medical Support","Healthcare assistance",220-181200
220-181205,"Education Aid","Learning support help",220-181200
220-181300,"Wedding Services","Religious wedding ceremonies",220-180000
220-181301,"Religious Ceremonies","Faith-based weddings",220-181300
220-181302,"Premarital Counseling","Marriage preparation",220-181300
220-181303,"Wedding Planning","Religious event planning",220-181300
220-181304,"Venue Services","Religious venue rental",220-181300
220-181305,"Marriage Classes","Marriage preparation classes",220-181300
220-181400,"Funeral Services","Religious funeral services",220-180000
220-181401,"Memorial Service","Remembrance ceremonies",220-181400
220-181402,"Burial Service","Interment ceremonies",220-181400
220-181403,"Grief Support","Bereavement assistance",220-181400
220-181404,"Planning Service","Funeral arrangements",220-181400
220-181405,"Family Support","Mourning family help",220-181400
220-181500,"Baptism Services","Religious baptism ceremonies",220-180000
220-181501,"Infant Baptism","Baby baptism ceremony",220-181500
220-181502,"Adult Baptism","Adult baptism service",220-181500
220-181503,"Group Baptism","Multiple person baptism",220-181500
220-181504,"Baptism Prep","Preparation classes",220-181500
220-181505,"Private Baptism","Individual ceremony",220-181500
220-181600,"Religious Schools","Faith-based schools",220-180000
220-181601,"Primary Education","Religious elementary school",220-181600
220-181602,"Secondary Education","Religious high school",220-181600
220-181603,"Seminary Programs","Religious leader training",220-181600
220-181604,"Religious Daycare","Faith-based childcare",220-181600
220-181605,"Summer Programs","Religious summer school",220-181600
220-181700,"Study Groups","Religious study programs",220-180000
220-181701,"Bible Study","Scripture study groups",220-181700
220-181702,"Book Discussion","Religious text study",220-181700
220-181703,"Prayer Groups","Group prayer study",220-181700
220-181704,"Youth Study","Young people study",220-181700
220-181705,"Theology Study","Religious doctrine study",220-181700
220-181800,"Scripture Classes","Religious text education",220-180000
220-181801,"Beginner Classes","Basic scripture learning",220-181800
220-181802,"Advanced Study","Deep scripture analysis",220-181800
220-181803,"Children Classes","Youth scripture learning",220-181800
220-181804,"Language Study","Original text study",220-181800
220-181805,"Historical Context","Scripture background study",220-181800
220-181900,"Grief Support","Faith-based grief counseling",220-180000
220-181901,"Bereavement Groups","Loss support groups",220-181900
220-181902,"Individual Counseling","Personal grief support",220-181900
220-181903,"Family Support","Family grief services",220-181900
220-181904,"Memorial Services","Remembrance ceremonies",220-181900
220-181905,"Support Resources","Grief support materials",220-181900
220-182000,"Marriage Support","Religious marriage guidance",220-180000
220-182001,Pre-Marriage,"Preparation counseling",220-182000
220-182002,"Couples Counseling","Marriage relationship help",220-182000
220-182003,"Crisis Support","Marriage emergency help",220-182000
220-182004,"Group Support","Couple group sessions",220-182000
220-182005,"Family Counseling","Family relationship help",220-182000
220-182100,"Youth Support","Religious youth counseling",220-180000
220-182101,"Teen Counseling","Youth spiritual guidance",220-182100
220-182102,"Peer Support","Youth group mentoring",220-182100
220-182103,"Family Programs","Parent-youth support",220-182100
220-182104,"Crisis Help","Youth emergency support",220-182100
220-182105,"Academic Support","Educational assistance",220-182100
220-182200,"Retreat Centers","Spiritual retreat facilities",220-180000
220-182201,"Spiritual Retreats","Faith-based getaways",220-182200
220-182202,"Youth Retreats","Youth spiritual programs",220-182200
220-182203,"Marriage Retreats","Couples spiritual programs",220-182200
220-182204,"Leadership Retreats","Religious leader training",220-182200
220-182205,"Personal Retreats","Individual spiritual time",220-182200
220-182300,"Prayer Groups","Organized prayer services",220-180000
220-182301,"Morning Prayer","Early day prayer group",220-182300
220-182302,"Evening Prayer","Night prayer gathering",220-182300
220-182303,"Meditation Group","Contemplative prayer",220-182300
220-182304,"Healing Prayer","Health-focused prayer",220-182300
220-182305,"Intercessory Prayer","Prayer request group",220-182300
220-182400,"Religious Goods","Religious item retail",220-180000
220-182401,"Religious Books","Sacred text retail",220-182400
220-182402,"Religious Music","Sacred music retail",220-182400
220-182403,"Religious Art","Sacred art retail",220-182400
220-182404,"Ceremonial Items","Religious ceremony supplies",220-182400
220-182405,"Religious Gifts","Faith-based gift items",220-182400
220-182500,"Cultural Programs","Religious cultural events",220-180000
220-182501,"Religious Festivals","Faith celebration events",220-182500
220-182502,"Cultural Classes","Religious culture education",220-182500
220-182503,"Holiday Programs","Religious holiday events",220-182500
220-182504,"Arts Programs","Religious arts activities",220-182500
220-182505,"Music Programs","Religious music events",220-182500
220-190000,"Environmental Services","Environmental and sustainability services",NULL
220-190100,"Recycling Services","Material recycling programs",220-190000
220-190101,"Material Recycling","General recycling programs",220-190100
220-190102,"Electronics Recycling","E-waste recycling services",220-190100
220-190103,"Paper Recycling","Paper product recycling",220-190100
220-190104,"Metal Recycling","Metal material recycling",220-190100
220-190105,"Plastic Recycling","Plastic material recycling",220-190100
220-190200,"Waste Collection","Waste pickup and disposal",220-190000
220-190201,"Residential Waste","Home garbage collection",220-190200
220-190202,"Commercial Waste","Business waste pickup",220-190200
220-190203,"Industrial Waste","Factory waste removal",220-190200
220-190204,"Green Waste","Yard waste collection",220-190200
220-190205,"Bulk Collection","Large item removal",220-190200
220-190300,"Hazardous Waste","Hazardous material handling",220-190000
220-190301,"Chemical Waste","Chemical disposal service",220-190300
220-190302,"Medical Waste","Healthcare waste removal",220-190300
220-190303,"Industrial Toxins","Toxic material handling",220-190300
220-190304,"Asbestos Removal","Asbestos disposal service",220-190300
220-190305,"Oil Disposal","Oil waste management",220-190300
220-190400,"Environmental Assessment","Environmental impact studies",220-190000
220-190401,"Site Assessment","Location evaluation services",220-190400
220-190402,"Impact Studies","Environmental impact analysis",220-190400
220-190403,"Risk Assessment","Environmental risk evaluation",220-190400
220-190404,"Compliance Audit","Regulatory compliance review",220-190400
220-190405,"Monitoring Services","Environmental monitoring",220-190400
220-190500,"Sustainability Planning","Sustainable practice consulting",220-190000
220-190501,"Energy Planning","Sustainable power strategy",220-190500
220-190502,"Waste Reduction","Waste minimization plans",220-190500
220-190503,"Green Design","Eco-friendly planning",220-190500
220-190504,"Resource Planning","Resource usage strategy",220-190500
220-190505,"Carbon Planning","Emission reduction plans",220-190500
220-190600,"Green Building","Sustainable construction services",220-190000
220-190601,"Energy Efficiency","Power saving design",220-190600
220-190602,"Water Conservation","Water saving systems",220-190600
220-190603,"Solar Integration","Solar power systems",220-190600
220-190604,"Green Materials","Eco-friendly materials",220-190600
220-190605,"LEED Certification","Green building rating",220-190600
220-190700,"Land Conservation","Land preservation services",220-190000
220-190701,"Habitat Protection","Wildlife habitat preservation",220-190700
220-190702,"Forest Conservation","Forest preservation services",220-190700
220-190703,"Wetland Protection","Wetland preservation",220-190700
220-190704,"Soil Conservation","Soil preservation services",220-190700
220-190705,"Land Restoration","Ecosystem restoration",220-190700
220-190800,"Water Conservation","Water preservation programs",220-190000
220-190801,"Usage Monitoring","Water consumption tracking",220-190800
